Adresa,lat,lon
"Popovice 390, 68604 Popovice",49.0554262,17.5363518
"Na Říháku 1098/18, 15300 Praha",49.9903022,14.3620382
"Mořina 72, 26717 Mořina",49.9525658,14.2064196
"Bělehradská 858, 12000 Praha",50.0681715,14.4355269
"Horská 564, 54102 Trutnov",50.591965,15.8812038
"139, 56501 Skořenice",50.03126,16.221956
"Heydukova 511, 57201 Polička",49.7120501,16.253035
"Březí 52, 28565 ZBÝŠOV V ČECHÁCH",49.8133393,15.3526557
"č.p. 5, 36001 Karlovy Vary",50.2222991,12.8750285
"Příbramská 854, 26301 Dobříš",49.7757785,14.1681116
"9. května 2479, 67801 Blansko",49.3568654,16.6569881
"Pekařská 1638/79, 74705 OPAVA - KATEŘINKY",49.94656,17.9042687
"Zeyerovy sady 46, 38901 Vodňany",49.1457413,14.1750579
"Dukelská 198, 399 01 Milevsko",49.4492197,14.3726742
"Slavošov 3, 28522 ZRUČ NAD SÁZAVOU",49.7573419,15.1204762
"Husinecká 1102, 39002 TÁBOR",49.4100283,14.6824861
"Ke Skalám 502, 261 01 PŘÍBRAM",49.6651092,13.9919785
"26. dubna, 68801 Uherský Brod",49.0176231,17.6516719
"Kraslická 315, 35601 Sokolov",50.1860893,12.6394688
"J. Nygrína 268, 56201 Ústí nad Orlicí",49.9733174,16.3896099
"Javorník 277, 69674 Javorník",48.8437737,17.5369687
"Husova 13, 28506 SÁZAVA",49.8706625,14.89614
"Bylanská 62, 28201 ČESKÝ BROD",50.0738326,14.8842181
"Libenice, 28002 KOLÍN II",50.0330708,15.1905655
"Klucké Chvalovice 23, 28565 ZBÝŠOV V ČECHÁCH",49.8133393,15.3526557
"Horky 141, 28601 ČÁSLAV",49.8887541,15.3852095
"Kšírova 125, 61900 Brno-Komárov",49.1748652,16.6200312
"Lucemburská 2013, 13000 Praha",50.078948,14.4553958
"Masarykova 214, 51750 ČASTOLOVICE",50.129535,16.1753838
"Želivského 805, 28002 KOLÍN II",50.0170814,15.2024724
"Jižní  443, 53843 TŘEMOŠNICE",49.8675676,15.5842175
"Jakub 66, 28533 CÍRKVICE",49.9553688,15.3376475
"Chrudichromská 2156, 68001 Boskovice",49.4968788,16.645855
"Jenewanova 115, 28401 KUTNÁ HORA",49.9394844,15.2647023
"U Cihelny 685, 66452 Sokolnice",49.117225,16.7326115
"V Chaloupkách 63, 53006 Pardubice",50.0125701,15.6888899
"Stradinská 324, 51741 KOSTELEC NAD ORLICÍ",50.1194913,16.1982438
"Pod Sukovem    511, 28401 KUTNÁ HORA",49.9582703,15.268878
"U maosombinátu 1242, 29306 Kosmonosy",50.4426518,14.9183552
"Nebovidy 3, 28002 KOLÍN II",50.0330708,15.1905655
"Rozkos 1155, 58291 SVĚTLÁ NAD SÁZAVOU",49.6730661,15.3934263
"Opatovice  I /33, 28542 ČERVENÉ JANOVICE",49.8326872,15.2530372
"Nučice 129, 28163 KOSTELEC NAD ČERNÝMI LESY",49.9676857,14.8672867
"Zahradni 416, Žleby",49.8903113,15.4700113
53861 KOČÍ,49.9472009,15.8553552
"Vlkaneč 98, 28564 VLKANEČ",49.8054315,15.4063847
"Vernirov 5, 28521 ZBRASLAVICE",49.8153264,15.1866528
"kpt. Nálepky 2674, 53002 Pardubice",50.020191,15.7584103
"Šlovice 110, 32100 Dobřany",49.6780977,13.3524006
"Zlínská 263, 765 02 Otrokovice",49.1993151,17.5431913
"Petra Bezruče 905/2, 66491 Ivančice",49.0963642,16.3737013
"Nádražní 114, 56401 Žamberk",50.0807499,16.4622904
"Konopáč 37, 53803 HEŘMANŮV MĚSTEC",49.9374738,15.6474575
"Kojetínská 3036, 75002 Přerov",49.4455096,17.4423088
"Tečovice 362, 76302 ZLÍN",49.2250563,17.5842513
"Nádražní 1665, 53901 Hlinsko",49.7683193,15.9076643
"V zahradách 754, 67961 Letovice",49.5537381,16.5744902
"59, 78391 Uničov",49.7715377,17.1100943
"Karlova 1441, 39901 Milevsko",49.4441373,14.3761961
"Rudolfovská 552, 37001 ČESKÉ BUDĚJOVICE",48.9838024,14.5101556
"Dobřeň 26, 28401 Suchdol",49.9376242,15.150733
"13, 28401 Vidice",49.9394844,15.2647023
"Boženy Němcové 817, 37901 Třeboň",49.0046409,14.754338
"Havířská 1059, 58001 HAVLÍČKŮV BROD",49.5939768,15.5890715
"Vanova 387, 28403 KUTNÁ HORA",49.9632881,15.2906245
"24, 36017 Karlovy Vary",50.3851005,12.9418295
"Žižkova 1691, 58301 CHOTĚBOŘ",49.7145581,15.6725994
"Sokolohradská 629, 58301 CHOTĚBOŘ",49.7128194,15.6835031
"Bezručova 863, 55203 ČESKÁ SKALICE",50.3885863,16.032785
"Větrná 935, 56802 Svitavy",49.7504553,16.4718415
"Na Rybníku 701/701, 56943 Jevíčko",49.629215,16.7138575
"Nádražní 610, 39901 Milevsko",49.4456683,14.3662326
"Česká Rybná 103, 53944 Proseč",49.7993101,16.0732813
"Lázeňská 2197/82, 56802 Svitavy",49.7529939,16.4576016
"Jakub 1, 28533 CÍRKVICE U KUTNÉ HORY",49.9473633,15.3376229
"Kouřimská 23/10, 28401 KUTNÁ HORA",49.9482289,15.2594426
"Doubravice 31, 78982 Moravičany",49.7480838,16.974105
"Drietoma 350, 913 03 Drietoma",48.8870481,17.9578179
"Drietoma 437, 913 03 Drietoma",48.8900262,17.9583916
"Kasárenská 2404, 91105 Trenčín",48.9047362,18.0262855
"Hejdukova 511, 57201 POLIČKA",49.7133261,16.2517134
"Čs. armády 1020, 56401 Žamberk",50.0894694,16.4559829
"Horní Lhota 107, 67801 Blansko",49.3836754,16.6447182
"Chudenická 1058, 10200 Praha",50.0462693,14.5191528
"Husova 1782, 53003 Pardubice",50.0445068,15.8024663
"74, 39002 Zhoř u Tábora",49.4026232,14.6791713
"U Olšavy 2463, 68801 Uherský Brod",49.019365,17.653775
"Pražská 438, 39701 Písek",49.3120466,14.1414695
"328, 56164 Jamné nad Orlicí",50.0395878,16.6328996
"Kolínská 670, 28504 Uhlířské Janovice",49.8892634,15.0690782
"171, 54341 Lánov",50.6199563,15.6570684
"Stará cesta 502, 37701 Jindřichův Hradec",49.1528585,15.0019202
"Jiráskovo předměstí 630, 37701 Jindřichův Hradec",49.1302338,15.0184628
"Pelhřimovská 3035, 39002 Tábor",49.402343,14.6900351
"Benešova 1061, 28002 Kolín",50.0224801,15.1836341
"Ústecká 28, 56002 Česká Třebová",49.9135008,16.4395162
"Vinohradská 1107, 539 01 Hlinsko",49.7578251,15.8998338
"Rváčovská 1549, 539 01 Hlinsko",49.7628088,15.8941325
"Vojkovice 57, 36301 Vojkovice",50.3060816,13.011899
"K Panelárně 382, 36001 Otovice",50.2565474,12.8817646
"Fričova 172, 36004 Karlovy Vary",50.2396334,12.8742064
"110, 35735 Mírová",50.3091325,12.1727039
"Sovětice 19, 50315 Sovětice",50.3049592,15.703427
"Petrov nad Desnou 4, 788 16 Petrov nad Desnou",50.0049833,17.0503648
"Na Jihru 501, 39701 Písek",49.3200189,14.1430617
"Češnovice 71, 37341 PIŠTÍN",49.0332771,14.3644231
"6, 28002 Nebovidy",50.0330708,15.1905655
"K Mokřinám 317, 28401 Kutná Hora",49.9663588,15.3065555
"Jevíčská 53, 56942 Chornice",49.6627061,16.7385097
"Pražská 866, 25901 Votice",49.6447263,14.6376863
"Okružní I 724, 56943 JEVÍČKO",49.6341751,16.7104163
"Brněnská 775, 56943 JEVÍČKO",49.629897,16.7115061
"Gellhornova 2235, 67801 Blansko",49.3521551,16.6624792
"Potoční 205, 28401 Kutná Hora",49.9510967,15.2796893
"Krouna 41, 539 43 Krouna",49.7667464,16.0283818
"Osvobození 123, 78969 Postřelmov",49.9115859,16.9189743
"Gellhornova 2491, 67801 Blansko",49.3500166,16.6565536
"6, 67962 Sulíkov",49.562398,16.5033896
"Běloveská 2042, 54701 NÁCHOD",50.4183488,16.1814388
"Kaplická 232, 382 32 Velešín",48.8231827,14.4591276
"U Velkého rybníka, 30100 Plzeň",49.7760686,13.3807075
"Na Statku 31, 54101 Trutnov",50.5588013,15.8747488
"Újezdská 336, 56501 Choceň",50.0026844,16.2220399
"Edvarda Beneše 1128/13, 30100 Plzeň",49.7317762,13.3758256
"Skladová 556/25, 32600 Plzeň",49.7195394,13.4137515
"Čs. legií 1251, 51401 Jilemnice",50.6077131,15.5124574
"Bříza 6, 50312 Všestary",50.2424929,15.767882
"Jateční 725/3, 46601 JABLONEC NAD NISOU",50.7153913,15.1598825
"U Vodárny 1506, 39701 Písek",49.3048964,14.1336183
"Kameničná 76, 56401 Kameničná",50.1194548,16.4433556
"218, 54908 Provodov-Šonov",50.3873448,16.1078356
"Nasavrky č.p. 293, 53825 NASAVRKY",49.8367295,15.7994233
"Nad Mýtem 1164, 39101 Sezimovo Ústí",49.3874226,14.6957511
"Plzeňská 576, 36401 Toužim",50.0571108,12.990118
"84, 55205 Hořičky",50.4434793,15.9918647
"Hořičky 6, 55205 Hořičky",50.4429859,15.9939036
"Pražská 11, 53501 PŘELOUČ",50.0387929,15.5562411
"Holého 716/38, 905 01 Senica",,
"Podolská 103/126, 14700 Praha",50.0563575,14.420794
"I. P. Pavlova 2001, 36001 Karlovy Vary",50.2287616,12.8763219
"Ve Vilkách 147, 54101 Trutnov",50.5588388,15.88601
"Dědová, 53901 Dědová",49.758159,15.9889294
"Miřiovského 1185, 37701 Jindřichův Hradec",49.1499672,14.9996552
"Třebčín 253, 78342 Lutín",49.5482004,17.1140796
"Plzeňská, 26701 Králův Dvůr",49.9387298,14.0207605
"Krumlovská 977, 38301 Prachatice",49.0028958,14.009364
"Vlkoš 27, 69641 Vlkoš",48.9949827,17.1672295
"Hejdof 1666, 28601 Čáslav",49.915533,15.3755541
"Hrotovická 1184, 67401 Třebíč",49.2038278,15.8973059
"Václavská 609/lll, 28601 Jindřichův Hradec",49.8887541,15.3852095
"Třídvorská 1501, 28002 KOLÍN III",50.0342216,15.21287
"Panský kopec 1, 56117 Dlouhá Třebová",49.9421567,16.4267452
"sad Míru 787, 28522 Zruč nad Sázavou",49.7442758,15.090555
"Volynska 2279, 34701 Tachov",49.7893504,12.6292237
53803 HEŘMANŮV MĚSTEC,49.9470444,15.6646587
"Farská 50, 949 01 Nitra",48.3103581,18.085857
"Budovateľská 31, 955 01 Topolčany",48.5606899,18.152044
"Pezinská 63C, 90201 Vinosady",48.3079087,17.2895241
"Košická 2, 8001 Prešov",49.0649911,20.3070776
"Jilemnického 4, 8001 Prešov",49.1124308,20.3613953
"Slovenská 3982, 8501 Bardejov",49.2951925,21.2801257
"Okružní 103, 54242 Pilnikov",50.5304952,15.8192291
"Dlouhý 73, 513 01 Záhoří - Dlouhý",,
"28.října 643, 74283 Klimkovice",49.7843096,18.1396674
28401 Kutna Hora,49.9486561,15.2681123
"Emila Škody, 30100 PLZEŇ",49.7394611,13.3590891
"Borská 2964, 30100 PLZEŇ",49.7359714,13.3588867
"Na Výsluní 752, 28522 Zruč nad Sázavou",49.7456144,15.0907625
"Tunochody 30, 58401 Číhošť",49.7572282,15.335338
"V Toufarne 19, 28601 CASLAV",49.9040946,15.3947317
"Březová 443, 68767 Březová",48.9166786,17.7521569
"Havlenova 18, 28601 Čáslav",49.9053964,15.3959488
"Hollého 1247, 957 01 Bánovce nad Bebravou",48.7210942,18.2609872
"Trenčianska cesta 21, 957 01 Bánovce nad Bebravou",48.7233823,18.2503038
"Libušina 10, 59200 Svratka",49.7106474,16.0420338
"Fučikova 826, 57001 Litomyšl",49.8675875,16.307555
"K cihelně 1368, 264 01 Sedlčany",49.6472038,14.4260044
"Průmyslová 1142, 68601 Uherské Hradiště",49.05836,17.4559475
"Lubenská 1588, 26901 Rakovník",50.0973686,13.725179
"Borová 147, 56982 Borová",49.7373923,16.1562661
"KRCHLEBY 196, 28601 KRCHLEBY",49.8791088,15.3434234
"Jarošovská 1377, 37701 Jindřichův Hradec",49.1525658,15.0129348
"78, 28533 CIRKVICE",49.9473633,15.3376229
"Podnikatelská 565, 19011 PRAHA 9 - BĚCHOVICE",50.0927284,14.6179882
"Emila Picka 3, 28601 CASLAV",49.9190278,15.3825731
"ZELENA 319, 53372 MORAVANY",49.9983313,15.951525
"Do Čertous 2622, 19300 Praha",50.1232913,14.6150653
"Trávníky 107, 67921 Bořitov",49.419005,16.5951075
"Petrovice 43, 56102 Dolní Dobrouč",49.9934726,16.4960715
"Za riekou Nitrou 1500, 958 01 Partizánske",48.6218391,18.3814705
"Tallerova 4, 811 02 Bratislava",48.1417162,17.1139349
"Míškovice 136, 76852 Míškovice",49.2744682,17.5474605
"Broumovská 53, Malé Poříčí,, 54701 Velké Poříčí",50.4522923,16.1883271
"Šturova 422/6, 908 01 Kúty",48.6588303,17.0161861
